year,mmsi,transmitter_no,raw_registered_gear_type,positions,days,days_on_high_seas,fishing_days,fishing_days_on_high_seas,total_hours,total_fishing_hours,hours_on_high_seas,fishing_hours_on_high_seas
2015,1004584372,4584372,Stick-Held lift net,532,41,0,2,0,726.5666666663004,2.9833333333,0,0
2016,1004571592,4571592,Purse Seine Small Pelagics,2271,157,0,80,0,3028.2416666667955,925.4250000000004,0,0
2016,1004961348,4961348,Longline Tuna,715,63,26,17,17,707.0416666667002,140.03333333319995,602.0250000001001,140.03333333319995
2015,1000124852,124852,Pole-and-line,1136,54,0,11,0,684.9416666664998,30.10000000020001,0,0
2014,1004735508,4735508,Stick-Held lift net,5922,288,0,80,0,6284.649999999101,695.9250000001005,0,0
2016,1004952212,4952212,Squid hooking,1477,71,0,19,0,1571.3666666665006,91.4749999999,0,0
2016,1004543179,4543179,Oceanic gillnet,4643,230,0,172,0,4592.149999999799,2768.9666666663,0,0
2016,1000073789,73789,Stick-Held lift net,11021,260,0,65,0,5959.350000000198,419.12499999939996,0,0
2014,1000124163,124163,Fish net/dragnet,16671,329,0,238,0,7557.6916666923,1390.250000004601,0,0
2015,1004598760,4598760,Purse Seine Big Pelagics with one boat,5874,286,244,181,170,6312.666666668309,2344.3500000001964,5395.083333334406,2272.675000000296
2016,1000065135,65135,Purse Seine Big Pelagics with one boat,10205,248,40,146,32,4840.783333335796,1592.9416666664017,892.4916666670988,504.4749999991004
2015,1004620713,4620713,Purse Seine Small Pelagics,3187,214,0,99,0,3506.833333333898,1317.7999999998,0,0
2014,1004958152,4958152,Squid hooking,7338,320,0,138,0,7393.316666666599,1739.5999999996002,0,0
2016,1004616831,4616831,Oceanic gillnet,3642,173,0,139,0,3647.233333333398,2299.3416666662974,0,0
2016,1004625590,4625590,Purse Seine Small Pelagics,26159,272,0,129,0,5660.208333713802,1281.566666733499,0,0
2015,1000097253,97253,Purse Seine Small Pelagics,5172,138,0,94,0,2975.108333336102,927.7833333342003,0,0
2014,NA,86811707387,Basic longline,3525,176,0,59,0,3673.3249999949007,516.766666666,0,0
2015,1000102792,102792,Purse Seine Small Pelagics,8113,210,0,85,0,4667.783333335103,705.9666666672005,0,0
2016,1004610794,4610794,Hand Line Tuna,6115,283,0,115,0,6285.808333332797,1034.7666666671998,0,0
2015,1000102822,102822,Purse Seine Small Pelagics,7825,209,0,105,0,4647.274999999103,990.9750000004996,0,0
2016,1040409341,40409341,Stick-Held lift net,6674,298,0,3,0,6631.341666663398,16.4583333333,0,0
2016,1004511999,4511999,Squid hooking,5887,252,0,77,0,5843.374999999799,529.5416666664,0,0
2016,1031057360,31057360,Stick-Held lift net,1884,76,0,10,0,1512.7916666678007,85.28333333329999,0,0
2014,1004584378,4584378,Oceanic gillnet,2248,127,0,35,0,2231.4583333334003,509.0666666667999,0,0
2014,1004572139,4572139,Purse Seine Small Pelagics,2620,123,0,69,0,2610.0583333333993,637.0166666666,0,0
2015,1000087097,87097,Longline Tuna,3400,92,24,40,14,2021.9166666668007,459.18333333270016,478.71666666630017,127.51666666640001
2015,NA,86811701019,Basic longline,2590,82,0,19,0,1762.5083333315013,78.30833333320001,0,0
2016,1040517560,40517560,Stick-Held lift net,431,18,0,2,0,422.2249999996999,30.758333333599996,0,0
2015,1000099662,99662,Purse Seine Small Pelagics,3359,192,0,3,0,3595.4250000012003,12.716666666699998,0,0
2015,1004955200,4955200,Purse Seine Big Pelagics with one boat,34951,282,37,122,21,5775.441666816101,1015.6833333729999,564.4833333340996,90.7500000003
2016,1000065272,65272,Purse Seine Big Pelagics with one boat,13625,303,0,157,0,6802.925000004706,1442.041666668,0,0
2014,1004957194,4957194,Longline Tuna,4307,193,178,145,143,4213.233333332701,1545.341666666299,3898.624999999199,1540.341666666299
2015,1004821629,4821629,Purse Seine Small Pelagics,2042,125,0,24,0,2528.366666665397,146.2416666665,0,0
2016,1040408035,40408035,Purse Seine Big Pelagics with one boat,5888,260,0,83,0,5802.091666664806,934.9749999996,0,0
2016,1004960943,4960943,Squid hooking,7014,277,0,66,0,6135.966666674913,443.091666667,0,0
2015,1000123981,123981,Purse Seine Big Pelagics with one boat,7075,169,93,81,75,3852.250000000299,919.8666666670998,2170.6166666668023,877.8666666670997
2015,1000140466,140466,Stick-Held lift net,14215,335,0,90,0,7674.916666670598,635.9583333338998,0,0
2016,1004535452,4535452,Purse Seine Small Pelagics,3685,188,0,111,0,3979.8166666658985,987.8666666659007,0,0
2015,1004949244,4949244,Longline Tuna,6835,306,303,159,159,6945.349999999699,1209.7666666664998,6866.391666666299,1209.7666666664998
2016,1004487788,4487788,Squid hooking,6141,277,0,77,0,6283.549999999899,696.8666666667999,0,0
2016,1004511756,4511756,Anchored gillnets,3949,173,0,137,0,3788.0750000008984,2139.4583333337987,0,0
2015,1000073687,73687,Purse Seine Small Pelagics,1671,45,0,9,0,949.3666666681004,55.175,0,0
2014,1004957401,4957401,Squid hooking,6818,302,0,83,0,6810.366666666808,730.5583333331,0,0
2015,1004556749,4556749,Stick-Held lift net,5886,283,0,126,0,6386.599999999705,1203.8999999993005,0,0
2015,1000103070,103070,Purse Seine Small Pelagics,10331,253,0,115,0,5739.7750000051965,824.6750000017996,0,0
2015,1004575590,4575590,Stick-Held lift net,7835,353,0,89,0,8207.583333332595,791.6499999994,0,0
2014,1004952217,4952217,Purse Seine Group (2 boat) Big Pelagics,7130,312,0,140,0,7095.724999999499,1184.4999999998001,0,0
2015,1004600121,4600121,Purse Seine Small Pelagics,3669,191,0,120,0,3756.6249999998972,1363.566666666,0,0
2014,1004620718,4620718,Longline Tuna,2384,146,133,100,98,3076.725000000098,1441.4166666669992,2676.5666666666984,1342.8166666670993
2016,1004624562,4624562,Longline Tuna,1986,91,0,26,0,1992.2249999999003,170.00833333330002,0,0
2016,1004585179,4585179,Stick-Held lift net,4972,69,0,41,0,1626.841666709598,663.6833333434995,0,0
2016,1040409604,40409604,Purse Seine Small Pelagics,5170,226,0,48,0,4998.924999997204,290.6249999993999,0,0
2016,1004571590,4571590,Purse Seine Group (2 boat) Big Pelagics,1506,100,0,83,0,1861.7833333335993,1000.6916666669013,0,0
2016,1004771013,4771013,Purse Seine Big Pelagics with one boat,5045,284,0,153,0,6001.1999999977,2064.333333332298,0,0
2016,1004861485,4861485,Purse Seine Small Pelagics,1017,54,0,34,0,1095.6833333331003,529.9583333336002,0,0
2014,1000124267,124267,Purse Seine Big Pelagics with one boat,2499,59,37,25,24,1278.0166666674997,168.8499999997,814.1416666662996,162.1916666664
2014,1000073639,73639,Purse Seine Big Pelagics with one boat,2497,53,31,24,23,1202.133333334001,213.7083333332,702.5083333325996,206.21666666640002
2014,1004816213,4816213,Oceanic gillnet,5516,244,0,186,0,5613.899999999706,2150.6083333328,0,0
2015,1004613844,4613844,Longline Tuna,6205,276,244,222,198,6446.099999999602,2107.2499999995002,5527.6416666661025,1839.2666666661
2014,1000103045,103045,Purse Seine Small Pelagics,1947,53,0,12,0,999.7916666671,114.32500000000003,0,0
2016,1040511007,40511007,Stick-Held lift net,4372,188,0,19,0,4226.766666652904,115.1833333333,0,0
2014,1004788902,4788902,Longline Tuna,6671,294,292,218,218,6868.4666666661,2072.4833333334,6789.058333332799,2072.4833333334
2015,1004575606,4575606,Stick-Held lift net,4283,317,0,53,0,5403.1083333331,540.5333333332,0,0
2015,1000124267,124267,Purse Seine Big Pelagics with one boat,6472,158,76,94,52,3424.166666669099,929.1666666671001,1665.2250000025008,483.00833333400016
2016,1000041005,41005,Purse Seine Small Pelagics,4141,94,0,30,0,2128.466666665899,203.0666666665,0,0
2015,1004693909,4693909,Purse Seine Big Pelagics with one boat,6354,293,251,233,218,6623.683333332408,3136.6249999988972,5701.366666666,2992.2499999988972
2016,1040408417,40408417,Purse Seine Small Pelagics,1816,48,0,2,0,951.9833333279993,14.166666666600001,0,0
2015,1004725813,4725813,Purse Seine Big Pelagics with one boat,6779,315,264,220,209,7168.916666666407,2799.9416666662987,6095.166666666804,2719.191666666198
2014,1004614857,4614857,Longline Tuna,3276,264,262,179,179,4987.066666668002,1482.1583333342987,4936.8750000014015,1482.1583333342987
2014,NA,86811701464,Basic longline,4804,206,0,92,0,4579.016666653601,834.0249999971993,0,0
2016,1000140634,140634,Squid hooking,2805,66,0,20,0,1523.9083333337999,106.62500000060004,0,0
2014,1004587965,4587965,Purse Seine Small Pelagics,2305,129,0,51,0,2666.249999999597,471.8916666666,0,0
2015,1000125408,125408,Pole-and-line,4657,180,0,60,0,2325.0083333375983,305.1166666682001,0,0
2016,1004957400,4957400,Purse Seine Big Pelagics with one boat,2660,128,0,52,0,2645.4083333333,413.9833333330001,0,0
2016,1000073649,73649,Oceanic gillnet,1617,35,0,20,0,792.8249999996002,274.14999999989993,0,0
2015,1004893678,4893678,Purse Seine Big Pelagics with one boat,665,50,0,26,0,702.4666666667999,293.5083333333,0,0
2016,1040510719,40510719,Purse Seine Small Pelagics,4305,223,0,92,0,4140.050000005498,1152.4000000012002,0,0
2016,1004585186,4585186,Squid hooking,6842,275,0,78,0,6245.300000000598,687.1333333333006,0,0
2016,1031058876,31058876,Purse Seine Small Pelagics,936,60,0,6,0,1032.5416666667006,37.875,0,0
2015,1004752502,4752502,Purse Seine Small Pelagics,4193,223,0,132,0,4646.958333332896,1446.3499999988994,0,0
2016,1000044273,44273,Longline Tuna,2423,52,21,15,7,1155.2833333340004,67.8250000002,394.83333333420006,14.949999999999998
2015,1031085966,31085966,Purse Seine Small Pelagics,493,25,0,1,0,533.4416666669001,1.9916666667,0,0
2014,1000124795,124795,Purse Seine Small Pelagics,2292,65,0,30,0,1335.1166666691,200.8333333339,0,0
2016,1004614846,4614846,Oceanic gillnet,4020,204,0,148,0,3966.1499999958014,2587.291666664299,0,0
2016,1004613689,4613689,Stick-Held lift net,3840,179,0,60,0,3832.2333333333995,592.2416666664002,0,0
2015,1004771017,4771017,Purse Seine Small Pelagics,2413,116,0,50,0,2263.3499999999,565.9999999995002,0,0
2016,1000124724,124724,Oceanic gillnet,3744,85,0,65,0,1825.4583333343007,1127.6583333347005,0,0
2015,1000124248,124248,Basic longline,8415,195,0,144,0,4262.1416666692985,1966.3000000019,0,0
2015,1004569467,4569467,Stick-Held lift net,1943,127,0,16,0,2358.6916666661978,88.91666666660001,0,0
2014,1004958132,4958132,Purse Seine Small Pelagics,6186,277,126,181,86,6097.266666664003,2372.7999999986982,2895.749999999296,967.8083333329009
2016,1004956357,4956357,Purse Seine Small Pelagics,2714,125,0,76,0,2818.7833333322983,907.5166666666001,0,0
2015,1004907135,4907135,Longline Tuna,3366,180,0,50,0,3797.674999999794,355.9666666668001,0,0
2016,1040408652,40408652,Stick-Held lift net,1160,101,0,1,0,1989.4749999997005,6.65,0,0
2016,1004564727,4564727,Purse Seine Small Pelagics,3699,190,10,123,9,3797.7666666668965,1628.5916666666,148.99999999999997,103.0083333333
2015,1004476691,4476691,Purse Seine Small Pelagics,1698,80,0,13,0,1831.2666666670004,49.5166666667,0,0
2015,1004542329,4542329,Purse Seine Small Pelagics,3456,209,0,66,0,4081.9749999827995,708.8583333300006,0,0
2014,1004960938,4960938,Squid hooking,2433,105,0,70,0,2413.3749999998986,754.3999999996001,0,0
2014,1004575827,4575827,Oceanic gillnet,2185,113,0,57,0,2394.1916666665984,617.4916666663001,0,0
2015,1000074289,74289,Purse Seine Big Pelagics with one boat,3648,83,0,66,0,1869.9166666679994,793.1833333337999,0,0
2016,1040512714,40512714,Purse Seine Small Pelagics,3362,145,0,33,0,3200.683333343098,272.0583333344,0,0
2016,1040510310,40510310,Purse Seine Big Pelagics with one boat,560,29,10,1,1,570.8833333340998,9.016666666599999,165.17500000020001,9.016666666599999
2015,1004952134,4952134,Purse Seine Big Pelagics with one boat,3025,181,0,137,0,3574.225000000198,2024.0333333336978,0,0
