year,type,mmsi,imo,call_sign,ship_name,sub_type,flag_state,length,tonnage,engine_power,crew,all_encounters,encounters_with_high_seas_vessels,encounters_in_the_high_seas,distinct_fishing_flags,fraction_with_high_seas_vessels,most_common_flag,aux_engine_power,design_speed_old,design_speed_ihs,main_sfc,main_sfc_low,aux_sfc,gap_hours,gap_days
2015,bunker,351266000,9106340,3EVI4,BILLIONS NO. 88,bunker,Panama,102.32,4228,2405,19,1,1,1,1,1,Japan,601.25,13.78671269172,13.145282774224999,203,203,217,0,0
2015,bunker,529231000,9078751,E5U3120,HAI SOON 12,bunker,Kiribati,101,3243,3859.87773404,18,1,1,1,1,1,Taiwan,964.96943351,14.23919336829953,14.540487081188624,203,203,217,27.94472222222222,0
2015,bunker,529584000,8503307,9VKU5,NO.7 COAM,bunker,Kiribati,88.01,3e3,1777.7488,18,1,1,1,1,1,Japan,444.4372,13.5665633423712,12.493515165690875,203,203,217,0,0
2015,bunker,529770000,9114842,T3PZ2,NEW SMILE,bunker,Kiribati,98.46,4629,2426,17,1,1,0,1,1,Japan,606.5,13.799357256132,13.166579852803999,203,203,217,0,0
2015,bunker,577201000,9381627,YJTN7,B SKY,bunker,Vanuatu,98.12,3978,3e3,18,1,1,1,1,1,Lithuania,750,13.972843752,13.735560999999999,203,203,217,0,0
2016,bunker,351266000,9106340,3EVI4,BILLIONS NO. 88,bunker,Panama,102.32,4228,2405,19,1,1,1,1,1,Spain,601.25,13.78671269172,13.145282774224999,203,203,217,0,0
2016,bunker,441557000,9465605,DSQF6,JEY HOPE,bunker,South Korea,114.4,5667,3995,19,1,1,0,1,1,South Korea,998.75,14.30816920857,14.661801878225,260,203,217,30.70138888888889,0
2016,bunker,538002582,9272723,V7JX2,EASTERN PRELUDE,bunker,Marshall Islands,111.06,5770,4200,19.5,1,1,0,1,1,South Korea,1050,14.373663072,14.843171559999998,203,203,217,49.08916666666667,0
2016,bunker,538004147,9377834,V7VL2,B.OCEAN,bunker,Marshall Islands,105,3978,5099.89475553,18,1,1,1,1,1,Spain,1274.9736888825,14.64290404969748,15.601084294581934,203,203,217,0,0
2014,reefer,1000103016,NA,NA,NA,NA,Indonesia,26.65,189,350,31,51,51,51,1,1,Indonesia,87.5,13.0493840067,10.8970873025,203,203,217,0,0
2014,reefer,1000065111,NA,NA,NA,NA,Indonesia,29.82,174,350,31,44,44,44,1,1,Indonesia,87.5,13.0490757522,10.8970873025,203,203,217,0,0
