year,mmsi,transmitter_no,shipname,raw_registered_gear_type,gfw_sub_gear,gfw_gear,length,tonnage,engine_power,positions,days,days_on_high_seas,fishing_days,fishing_days_on_high_seas,total_hours,total_fishing_hours,hours_on_high_seas,fishing_hours_on_high_seas,fraction_effort_on_high_seas,aux_engine_power,crew,design_speed_old,design_speed_ihs,main_sfc,main_sfc_low,aux_sfc
2015,1004587048,4587048,FORTUNA,Longline Tuna,drifting_longlines,drifting_longlines,25.85,34,261,4474,242,211,164,147,5124.199999995998,1543.2499999994998,4165.524999996197,1273.7333333328006,0.8253577406986642,78.3,10,13.016837007492,10.792379317009,180,180,217
2015,1004939213,4939213,CHIU SHIH - 01,Longline Tuna,drifting_longlines,drifting_longlines,24.29,87,351.0048956054811,4908,263,253,205,205,5945.849999999597,2779.2916666660003,5803.3166666663965,2779.2916666660003,1,105.30146868164434,11,13.047619251927943,10.898266076840791,180,180,217
2014,1004749782,4749782,CHELSEA RATNA WIJAYA,Purse Seine Small Pelagics,purse_seines,purse_seines,23.46,98,313.2,1420,78,28,38,24,1405.825000000299,478.24166666710016,566.0666666669002,318.61666666699983,0.666225234801187,93.96,9,13.0353798181488,10.85386621649296,220,220,217
2016,1040408933,40408933,PERMATA INDAH II,Longline Tuna,drifting_longlines,drifting_longlines,20.38,68,253.99963939113465,3058,262,158,128,72,5871.000000000795,1658.7333333328995,3340.841666667203,929.0583333330999,0.5601010811462619,76.19989181734039,7,13.015235201242312,10.784117579280831,220,220,217
2014,1000110019,110019,STARINDO JAYA MAJU - VII,Purse Seine Small Pelagics,purse_seines,purse_seines,25.9,91,313.2,3758,98,11,7,2,2125.1833333351015,78.7916666668,235.40000000030008,29.791666666799998,0.37810682178846644,93.96,14,13.0352352597096,10.85386621649296,180,180,217
2014,1004926114,4926114,BANDAR NELAYAN - 238,Longline Tuna,drifting_longlines,drifting_longlines,23.45,78,328.9602609245482,5578,239,234,147,147,5538.133333334295,1265.9166666659005,5433.675000000994,1265.9166666659005,1,98.68807827736445,9,13.040164309400335,10.872389179489401,220,220,217
2015,1004725223,4725223,CITRA MAJU - 28,Longline Tuna,drifting_longlines,drifting_longlines,26.59,161,414.69270964462055,1716,77,70,56,55,1765.6749999996996,366.0083333333,1520.7666666663,342.5083333333,0.9357938116163053,124.40781289338616,10,13.07012863310974,10.972815392032656,180,180,217
2014,1004955186,4955186,SURYA TERBIT,Longline Tuna,drifting_longlines,drifting_longlines,28.15,120,387.8,779,39,27,10,10,800.0749999999002,62.533333333200005,583.2916666667003,62.533333333200005,1,116.34,12,13.060427598288,10.94137439093636,180,180,217
2016,1004941371,4941371,WIJAYA ABADI - VI,Longline Tuna,drifting_longlines,drifting_longlines,27.33,82,275.9,3321,177,147,111,101,3807.691666666701,920.9666666661999,3220.008333333101,818.0166666659999,0.8882152810450047,82.77,13,13.022748785540399,10.80995155631849,180,180,217
2014,1004704755,4704755,HASIL SAMUDRA HINDIA,Purse Seine Small Pelagics,purse_seines,purse_seines,25.68,118,275.9,2636,122,85,82,78,2634.8750000001996,1229.8916666668001,1960.8250000001,1170.5583333333998,0.9517572685940682,82.77,8,13.0234959108996,10.80995155631849,180,180,217
2016,1040511005,40511005,KENCANA MAS,Longline Tuna,drifting_longlines,drifting_longlines,23.88,86,208.8,5271,228,141,176,122,5084.741666664601,2364.4166666656984,3182.4749999985984,1746.2916666666995,0.7385718817188516,62.64,12,13.0007046224544,10.73068276288576,220,220,217
