transmitter_no,shipname,begin_date,end_date,registered_gear_type,length,width,num_messages,date_first_broadcast,date_last_broadcast,registered_fishing_region
40510485,HARAPAN REJEKI,2/18/2017 0:00:00,2/17/2018 0:00:00,"Lampara Seine Nets,Purse Seine Small Pelagics",23.8,6.2,563,3/8/2017 1:49:00,6/1/2017 16:45:00,"712, 713,712, 713"
40510494,SUMBER REJEKI BARU,3/1/2016 0:00:00,2/28/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",13.37,5.33,4113,6/30/2015 23:27:00,2/27/2017 1:03:00,"712, 713,712, 713"
40510495,KHARISMA,3/24/2017 0:00:00,3/23/2018 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",22.35,6.42,2577,2/21/2017 0:13:00,6/20/2017 23:14:00,"713, 712,713, 712"
40510496,KM Arta Mina Samudra-01,5/23/2016 0:00:00,5/22/2017 0:00:00,Purse Seine Small Pelagics,22,7.6,6184,1/8/2016 1:52:00,5/11/2017 7:08:00,718
40510496,ARTA MINA SAMUDRA - 01,5/23/2016 0:00:00,5/22/2017 0:00:00,Lampara Seine Nets,22,7.6,850,2/21/2017 0:53:00,4/27/2017 23:32:00,718
40510497,JAYA MINA BANGKIT,12/2/2016 0:00:00,12/1/2017 0:00:00,Purse Seine Small Pelagics,20.59,7.3,155,9/28/2016 8:43:00,10/4/2016 17:02:00,718
40510498,KURNIA SINAR ABADI,7/3/2016 0:00:00,7/2/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",18.76,7.25,6220,9/5/2016 0:37:00,6/20/2017 23:35:00,"713, 712,713, 712"
40510510,DUTA MAS,5/19/2017 0:00:00,5/18/2018 0:00:00,Stick-Held lift net,21,6.14,74,5/30/2017 4:05:00,6/3/2017 0:33:00,712
40510511,JIMMY WIJAYA 34,2/3/2017 0:00:00,2/2/2018 0:00:00,Longline Tuna,25.46,7.7,3371,1/23/2017 11:04:00,6/20/2017 23:47:00,"572, 573"
40510512,INTAN FORTUNA,11/12/2016 0:00:00,11/11/2017 0:00:00,Transporter,25.48,7,5495,8/25/2016 0:42:00,5/22/2017 14:24:00,
40510513,HRM. TIMOR - 01,5/6/2016 0:00:00,5/5/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.64,6.3,3881,9/19/2016 14:09:00,4/30/2017 16:43:00,"572, 573,572, 573"
40510593,MEKAR ALAM JAYA,12/14/2015 0:00:00,12/13/2016 0:00:00,Stick-Held lift net,17.25,6,7187,12/10/2015 7:08:00,6/13/2017 3:15:00,711
40510594,MAJU SETIA - XIII,10/5/2016 0:00:00,10/4/2017 0:00:00,Purse Seine Big Pelagics with one boat,25.05,7.23,5459,9/20/2016 0:26:00,6/20/2017 23:58:00,"572, 573"
40510620,MODERN-IV,5/20/2016 0:00:00,5/19/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.24,7.6,3536,12/10/2015 6:46:00,2/23/2017 22:55:00,"713,713"
40510621,ARTA SAMPURNA - II,11/18/2016 0:00:00,11/17/2017 0:00:00,Longline Tuna,22.9,5.1,158,6/13/2017 6:00:00,6/20/2017 23:20:00,"572, 573"
40510622,LAUTAN MENTARI,5/8/2015 0:00:00,5/7/2016 0:00:00,Purse Seine Big Pelagics with one boat,28.87,8.6,3976,10/21/2014 5:05:00,1/2/2017 12:40:00,"572, 573"
40510623,KILAT MAJU JAYA - 12,9/7/2016 0:00:00,9/6/2017 0:00:00,Longline Tuna,20.75,5.66,769,10/13/2016 6:26:00,2/11/2017 6:02:00,"572, 573"
40510624,KILAT MAJU JAYA - IX,8/9/2016 0:00:00,8/8/2017 0:00:00,Longline Tuna,20.06,5.45,1578,9/23/2016 8:38:00,6/20/2017 23:37:00,"572, 573"
40510636,BINTANG  TERANG - II,11/21/2016 0:00:00,11/20/2017 0:00:00,Stick-Held lift net,20.1,5,2114,3/22/2017 2:45:00,6/20/2017 23:19:00,711
40510637,BINTANG  TERANG - I,6/27/2016 0:00:00,6/26/2017 0:00:00,Stick-Held lift net,21.4,6,2019,3/22/2017 3:30:00,6/20/2017 15:43:00,"712, 711"
40510638,KM Citra Nusantara - 12,5/10/2015 0:00:00,5/9/2016 0:00:00,Stick-Held lift net,22.2,5.2,2092,1/21/2016 0:30:00,4/7/2017 8:23:00,711
40510639,HOKTERI,5/9/2017 0:00:00,5/8/2018 0:00:00,Stick-Held lift net,19.8,5.5,212,5/11/2017 8:57:00,5/14/2017 8:07:00,711
40510671,40510671,6/24/2014 0:00:00,6/23/2015 0:00:00,Fish net/dragnet,41.89,7.25,1,8/27/2014 4:01:00,8/27/2014 4:01:00,718
40510672,40510672,6/24/2014 0:00:00,6/23/2015 0:00:00,Fish net/dragnet,41.89,7.25,1,5/26/2015 1:18:00,5/26/2015 1:18:00,718
40510673,40510673,6/24/2014 0:00:00,6/23/2015 0:00:00,Fish net/dragnet,41.89,7.25,1,2/23/2015 19:53:00,2/23/2015 19:53:00,718
40510674,40510674,6/24/2014 0:00:00,6/23/2015 0:00:00,Fish net/dragnet,41.89,7.25,1,5/26/2015 3:31:00,5/26/2015 3:31:00,718
40510675,40510675,6/24/2014 0:00:00,6/23/2015 0:00:00,Fish net/dragnet,41.89,7.25,1,10/9/2014 19:37:00,10/9/2014 19:37:00,718
