Transmitter No,Name,
4570754,ANITA JAYA - I,
4575597,ANITA JAYA - IX,
4624562,ANITA JAYA - XI,
40511636,ANNA RIZKY - XVIII,
31056675,ANSUS 01,
31056672,ANSUS 02,
31072298,ANTA BAHAGIA,
4905078,ANTA MAKMUR,
4.91E+11,ANTA MAKMUR,
53250,ANTAR MINA,
5325054321,ANTAR MINA,
4782858,ANTAR SAMUDRA II,
4765316,ANTARTIKA,
65352,ANTASENA  - 331,
87224,ANTASENA  - 345,
124222,ANTASENA  - 349,
65364,ANTASENA -  303,
109873,ANTASENA - 102,
23772,ANTASENA - 103,
123772,ANTASENA - 103,
65354,ANTASENA - 105,
61578,ANTASENA - 106,
70038,ANTASENA - 109,
70062,ANTASENA - 112,
70064,ANTASENA - 113,
81498,ANTASENA - 116,
87103,ANTASENA - 117,
74279,ANTASENA - 118,
81503,ANTASENA - 119,
97103,ANTASENA - 120,
99459,ANTASENA - 121,
87287,ANTASENA - 122,
16561,ANTASENA - 123,
116561,ANTASENA - 123,
87090,ANTASENA - 125,
87362,ANTASENA - 126,
109857,ANTASENA - 128,
99508,ANTASENA - 135,
99510,ANTASENA - 136,
56063,ANTASENA - 301,
87349,ANTASENA - 302,
61585,ANTASENA - 305,
87049,ANTASENA - 305,
65360,ANTASENA - 306,
65401,ANTASENA - 309,
65395,ANTASENA - 310,
65398,ANTASENA - 311,
65341,ANTASENA - 312,
81518,ANTASENA - 313,
61579,ANTASENA - 315,
61587,ANTASENA - 317,
65336,ANTASENA - 317,
74273,ANTASENA - 318,
65347,ANTASENA - 320,
61573,ANTASENA - 321,
65319,ANTASENA - 322,
97268,ANTASENA - 323,
61591,ANTASENA - 325,
65358,ANTASENA - 326,
61574,ANTASENA - 327,
109853,ANTASENA - 328,
61577,ANTASENA - 329,
59662,ANTASENA - 330,
61584,ANTASENA - 333,
87079,ANTASENA - 338,
61583,ANTASENA - 339,
65348,ANTASENA - 340,
65374,ANTASENA - 341,
9980,ANTASENA - 342,
109980,ANTASENA - 342,
124220,ANTASENA - 347,
102871,ANTASENA - 348,
61373,ANTASENA - 602,
65345,ANTASENA - 605,
46352,ANTASENA - 611,
81511,ANTASENA - 612,
116624,ANTASENA - 803,
65332,ANTASENA - 806,
65334,ANTASENA - 810,
59655,ANTASENA - 812,
99425,ANTASENA - 813,
65379,ANTASENA - 815,
65391,ANTASENA - 816,
65329,ANTASENA - 817,
65392,ANTASENA - 818,
65381,ANTASENA - 819,
65333,ANTASENA - 821,
65320,ANTASENA - 822,
65322,ANTASENA - 823,
65338,ANTASENA - 825,
65380,ANTASENA - 826,
102941,ANTASENA - 827,
56670,ANTASENA - 829,
125345,ANTASENA - 829,
123779,ANTASENA - 830,
59661,ANTASENA - 831,
65340,ANTASENA - 833,
65330,ANTASENA - 836,
59936,ANTASENA 127,
62059,ANTASENA 131,
124062,ANTASENA 137,
124063,ANTASENA 138,
124161,ANTASENA 139,
124163,ANTASENA 141,
124165,ANTASENA 142,
140248,ANTASENA 143,
65395,ANTASENA 310,
59067,ANTASENA 337,
124170,ANTASENA 346,
61592,ANTASENA 801,
65385,ANTASENA 805,
65386,ANTASENA 807,
61593,ANTASENA 808,
61594,ANTASENA 809,
123790,ANTASENA 828,
124167,ANTASENA 838,
140247,ANTASENA 839,
9857,ANTASENA-128 (xSUPPHERMNAVEE12),
2871,ANTASENA-348 (xSUPPHERMNAVEE25),
9853,ANTASENA-382 (x.MAHACHAINAVEE2),
2941,ANTASENA-827 (xSRIPERMPOONSAP),
23779,ANTASENA-830(xRORSUTHIPONGCHAI),
4801222,ANTEGAR,
4471496,ANTEMAS,
4954506,ANTENA,
4956370,ANTEVE,
31056677,ANUGERAH,
110050,ANUGERAH  SEJATI,
1474,ANUGERAH - 1,
4567478,ANUGERAH - 1,
1412,ANUGERAH - 2,
4567477,ANUGERAH - 2,
40511808,ANUGERAH - 2,
4595809,ANUGERAH - 6,
4583765,ANUGERAH - 68,
4583761,ANUGERAH - 9,
4595808,ANUGERAH 08,
40409927,ANUGERAH 28,
4667016,ANUGERAH 68,
4810882,ANUGERAH 82,
3022,ANUGERAH BAHARI,
103022,ANUGERAH BAHARI,
4907144,ANUGERAH BAHARI,
4912798,ANUGERAH BAHARI SUKSES,
4567997,ANUGERAH BINTANG SEJAHTERA,
