transmitter_no,shipname,a_raw_registered_gear_type,Engine Power,Company,Engine Brand
4956289,JIMMY WIJAYA 15,Longline Tuna,420,CHARLYWIJAYA TUNA,NISSAN
4956289,JIMMY WIJAYA -15,Longline Tuna,420,CHARLYWIJAYA TUNA,NISSAN
4956355,MEKAR GLORIA,Longline Tuna,#N/A,#N/A,#N/A
4956358,JIMMY INDAH -VI,Longline Tuna,#N/A,#N/A,#N/A
4956358,JIMMY INDAH VI,Longline Tuna,#N/A,#N/A,#N/A
4956372,MAHAKAM JAYA,Longline Tuna,350,PUTRA JAYAKOTA,NISSAN
4956382,JIMMY WIJAYA 11,Transporter,1030,BANDAR NELAYAN,MITSUBISHI
4956382,BANDAR NELAYAN -210,Transporter,1030,BANDAR NELAYAN,MITSUBISHI
4956394,CITRA MAJU 08,Purse Seine Big Pelagics with one boat,520,RENITA VELESTIKA,ISUZU
4956394,CITRA MAJU -08,Purse Seine Big Pelagics with one boat,520,RENITA VELESTIKA,ISUZU
4957177,BANDAR NELAYAN -102,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4957177,BANDAR NELAYAN 102,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4957186,MEKAR MANDIRI,Longline Tuna,350,PUTRA JAYAKOTA,NISSAN
4957194,JIMMY WIJAYA -24,Longline Tuna,#N/A,#N/A,#N/A
4957194,JIMMY WIJAYA 24,Longline Tuna,#N/A,#N/A,#N/A
4957403,BANDAR NELAYAN -17,Longline Tuna,350,BANDAR NELAYAN,NISSAN
4957403,BANDAR NELAYAN 17,Longline Tuna,350,BANDAR NELAYAN,NISSAN
4957438,TAO TOBA JAYA -X,Purse Seine Big Pelagics with one boat,350,SUMBER SAMUDRA SEJAHTERA,NISSAN
4957438,TAO TOBA JAYA X,Purse Seine Small Pelagics,350,SUMBER SAMUDRA SEJAHTERA,NISSAN
4957438,TAO TOBA JAYA -X,Purse Seine Small Pelagics,350,SUMBER SAMUDRA SEJAHTERA,NISSAN
4957438,TAO TOBA JAYA X,Purse Seine Big Pelagics with one boat,350,SUMBER SAMUDRA SEJAHTERA,NISSAN
4958132,SUGIH ABADI JAYA,Purse Seine Small Pelagics,370,SUGIMAN SURYA,NISSAN
4958149,JIMMY INDAH IV,Longline Tuna,#N/A,#N/A,#N/A
