found_flag,year,mmsi,flag_country_name,flag_iso3,shipname,callsign,imo,known_label,inferred_label,inferred_label_allyears,known_length,ais_length,inferred_length,known_tonnage,inferred_tonnage,known_engine_power,inferred_engine_power,active_positions,active_hours,gap_hours,active_days,fraction_time_high_seas,frac_fishing_high_seas,eez_first,frac_in_eez_first,eez_second,frac_in_eez_second,is_high_seas
,2016,81560430,Invalid MMSI,NA,KF817-10,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,58.23732005,NA,452.2846186,NA,1161.481017,897,1221.734722,257.7586111,109,1,1,NA,1,NA,NA,TRUE
,2016,81560484,Invalid MMSI,NA,DA SHENG-AIS-01,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,51.86162638,NA,264.2827797,NA,861.0268967,2430,694.2283333,781.4652778,60,1,1,NA,1,NA,NA,TRUE
,2016,81560485,Invalid MMSI,NA,DA SHENG-AIS-02,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,54.50202822,NA,259.4849301,NA,982.2255962,966,496.9697222,217.6352778,40,1,1,NA,1,NA,NA,TRUE
,2016,81560489,Invalid MMSI,NA,YONG AN-AIS-01,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,58.28546486,NA,311.5928243,NA,1306.772738,1011,622.5902778,28.55277778,53,1,1,NA,1,NA,NA,TRUE
,2016,81560498,Invalid MMSI,NA,DONG 178-01,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,34.05922889,NA,201.6639003,NA,584.1357245,1310,987.9613889,2248.709722,91,0.921377388,1,NA,1,NA,NA,TRUE
,2016,81560519,Invalid MMSI,NA,RUIJIANCAI NO.112-04,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,51.07525258,NA,251.3580284,NA,1033.314549,1170,510.3736111,NA,44,0.580820989,0.522045558,Madagascar,0.512758226,NA,0.487241774,TRUE
,2016,81560520,Invalid MMSI,NA,RUIJIANCAI NO.112-05,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,45.15391647,NA,293.8300362,NA,983.0329149,1757,826.8575,34.75305556,66,0.403741835,0.433386329,Madagascar,0.572901724,NA,0.427098276,TRUE
,2015,98309174,Invalid MMSI,NA,AIS-NET MARK,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,57.60575938,NA,432.0031076,NA,1268.141221,38,46.65638889,10737.0175,16,0.916217582,1,NA,1,NA,NA,TRUE
,2016,98309174,Invalid MMSI,NA,NET MARK-098309174,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,57.60575938,NA,432.0031076,NA,1268.141221,1989,2882.0675,408.5955556,132,1,1,NA,1,NA,NA,TRUE
,2015,98310188,Invalid MMSI,NA,NET MARK-098310188,NA,NA,NA,trawlers,trawlers,NA,NA,17.52738202,NA,33.58145756,NA,243.7114073,2121,702.215,NA,73,0.094653598,0.053227984,NA,NA,NA,NA,TRUE
,2015,98500007,Invalid MMSI,NA,Y.S.64  7.5V,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,35.61085476,NA,404.9046441,NA,519.2280236,53,35.37638889,120.9063889,4,1,1,NA,1,NA,NA,TRUE
,2015,111111156,Invalid MMSI,NA,607,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,37.61147059,NA,289.5900539,NA,529.4064256,914,142.9463889,702.3905556,34,1,1,NA,1,NA,NA,TRUE
,2015,111111188,Invalid MMSI,NA,LQ2803,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,54.17936418,NA,687.1058252,NA,1371.200019,1952,455.5802778,967.7483333,76,0.952263491,0.953772104,China,0.032208662,NA,0.967791338,TRUE
,2016,111111188,Invalid MMSI,NA,LQ2803,1111188,NA,NA,squid_jigger,squid_jigger,NA,8,54.17936418,NA,687.1058252,NA,1371.200019,3361,1885.585556,512.9913889,209,0.982710429,1,NA,1,NA,NA,TRUE
