fishing_season,vessel_name,flag_country_name,callsign,imo_number,crew_count,length_m,gross_tonnage_t,engine_power_kW,fishing_method,owner,port_of_registry,class
2014-2015,Kostar,"Korea, Republic of",6KCB6,9202687,43,47.11,862,930,Bottom Longline,Sunwoo Corporation,Busan,longline
2014-2015,Kwang Ja Ho,"Korea, Republic of",DTBP9,8505977,96,93.5,3012,3601,Midwater trawl,Insung Corporation,Busan,trawler
2014-2015,Sejong,"Korea, Republic of",DTBX8,8607385,120,110.22,7765,6000,Trawl,Dongwon Industries Co. Ltd.,Busan,trawler
2014-2015,Sunstar,"Korea, Republic of",6KCB,8978071,40,51.91,628,1201,Bottom Longline,Sunwoo Corporation,Busan,longline
2014-2015,Janas,New Zealand,ZMTW,9057109,20,46.5,1079,780,Bottom longline,Talley's Longline Limited,,longline
2014-2015,San Aotea II,New Zealand,ZM2534,9057111,25,46.5,1079,802,Demersal autoline,Sanford Limited,Auckland,longline
2014-2015,San Aspiring,New Zealand,ZMGO,9226528,25,51.2,1508,1730,Demersal longline,Sanford Limited,Auckland,longline
2014-2015,San Aspiring,New Zealand,ZMGO,9226528,25,51.2,1508,1730,Demersal longline,Sanford Limited,Auckland,longline
2014-2015,San Aspiring,New Zealand,ZMGO,9226528,25,51.2,1508,1730,Demersal longline,Sanford Limited,Auckland,longline
2014-2015,Antarctic Sea,Norway,LAWR,9160358,50,133.88,9432,3960,Continuous trawling (Eco-Harvesting),Aker BioMarine Antarctic II AS,Svolvaer,trawler
2014-2015,Juvel,Norway,LAZH,9256664,50,99.5,5500,6000,Midwater trawl,Emerald Fisheries AS,Alesund,trawler
2014-2015,Saga Sea,Norway,LNSK,7390416,59,92,4861,4500,Continuous trawl (Eco-Harvesting),Aker BioMarine Antarctic AS,Svolvaer,trawler
2014-2015,Seljevaer,Norway,LKYA,9188960,25,54.58,1155,1200,Bottom autoline,Stadt Havfiske AS,Maloy,longline
2014-2015,Seljevaer,Norway,LKYA,9188960,25,54.58,1155,1200,Bottom autoline,Stadt Havfiske AS,Maloy,longline
2014-2015,Mys Marii,Russian Federation,UIBA,9009918,30,49.56,743,712,Bottom longline,LLC Transit DV,,longline
2014-2015,Palmer,Russian Federation,UBJH2,9083005,27,49.9,1137.27,1620,Bottom longline - automatic system,LLC Southern Cross,Petropavlovsk-Kamchatskiy,longline
2014-2015,Yantar 31,Russian Federation,UBWE5,8916803,32,49.6,788,882,Bottom longline,Orion Co. Ltd,Sovetskaya Gavan,longline
2014-2015,Yantar 35,Russian Federation,UBHI8,9261504,,58.2,660,1103,Bottom longline,Orion Co. Ltd,Sovetskaya Gavan,longline
2014-2015,El Shaddai,South Africa,ZR6358,8025082,37,45.85,635.9,955,Longline,Braxton Security Services CC,Durban,longline
2014-2015,Tronio,Spain,ECJF,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Georgia SL,Celeiro,longline
2014-2015,Tronio,Spain,ECJF,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Georgia SL,Celeiro,longline
2014-2015,More Sodruzhestva,Ukraine,UYDV,8724315,110,103.1,6394,5252,Conventional pelagic (beam) trawl,Interpromflot Ltd,Illichivs'k,trawler
2014-2015,Simeiz,Ukraine,URBX,9247912,40,55.46,871,1176,"Spanish Longline, Trotline",LLC Fishing Company Proteus,Illichivs'k,longline
2014-2015,Simeiz,Ukraine,URBX,9247912,40,55.46,871,1176,"Spanish Longline, Trotline",LLC Fishing Company Proteus,Illichivs'k,longline
2014-2015,Argos Froyanes,United Kingdom,ZHHL,9249398,25,52.55,1352,1400,Bottom autoline,Froyanes AS,Jamestown,longline
2014-2015,Argos Froyanes,United Kingdom,ZHHL,9249398,25,52.55,1352,1400,Bottom autoline,Froyanes AS,Jamestown,longline
2014-2015,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2014-2015,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2014-2015,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2014-2015,New Polar,United Kingdom,ZDLF2,8704779,58,74.5,1794,3000,Stern trawl,Polar Ltd,Port Stanley,trawler
2014-2015,Robin M Lee,United Kingdom,ZDLF2,8718465,60,70,1386,2208,Stern pelagic trawl,Nova Seafish Ltd,Port Stanley,trawler
2014-2015,Tronio,United Kingdom,ZDLS2,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Arnela S.L.,,longline
2014-2015,Rambla,Uruguay,CXSB,9024621,38,50,852,1074,Spanish bottom longline,Riljer S.A.,Montevideo,longline
2015-2016,Antarctic Chieftain,Australia,VJT 6415,9262833,24,62.8,1136,1193,Auto Longline (Mustad),Antarctic Longline Ltd,Fremantle,longline
2015-2016,Antarctic Discovery,Australia,VKAD,9123219,26,55.3,1545,1641,Longline,Antarctic Longline (Australia) Pty Ltd,Hobart,longline
2015-2016,Atlas Cove,Australia,VHJT,9171008,30,68.1,1906,3407,Longline and trawl,Austral Fisheries Pty Ltd,Fremantle,longline | trawler
2015-2016,Atlas Cove,Australia,VHJT,9171008,30,68.1,1906,3407,Longline and trawl,Austral Fisheries Pty Ltd,Fremantle,longline | trawler
2015-2016,Austral Leader II,Australia,VHLU,7382770,30,59.8,1045,1760,Longline and pot,Austral Fisheries Pty Ltd,,longline
2015-2016,Corinthian Bay,Australia,VJN4779,9188960,30,54.58,1155,1118,Longline. Also licensed to use pots.,Austral Fisheries Pty Ltd,Fremantle,longline
2015-2016,Isla Eden,Australia,VJN4147,9111694,30,49.9,1362,1200,Longline. Also licensed to use pots.,Austral Fisheries Pty Ltd,Fremantle,longline
2015-2016,Antarctic Bay,Chile,CB 9738,9092240,44,51,985,1029,Longline,Antarctic Sea Fisheries S.A.,Valparaiso,longline
