flag,ffa_vid,vessel_name,ircs,mmsi,uvi_imo_number,vessel_type,length,tonnage,engine_power,crew
Japan,19299.0,KAIO MARU,NA,NA,NA,Longline,14.97,19.0,119.31200000000001,8.0
New Zealand,19653.0,EAGLE,ZMAE,512e3,6717801.0,Single Purse Seine,61.0,1355.0,2289.299,19.0
Japan,19794.0,HOSHIN MARU NO.58,JHYV,432271e3,8708218.0,Longline,NA,NA,NA,NA
South Korea,20057.0,ORYONG NO.711,DTFS,440705e3,8709107.0,Longline,56.07,414.0,894.84,25.0
Republic of Kiribati,20099.0,MARAWA II,T3NG2,529729e3,5771701.0,Single Purse Seine,68.1,1565.0,2684.52,25.0
United States of America,20107.0,PACIFIC BREEZE,WDE4890,367359220.0,7395624.0,Single Purse Seine,62.08,1091.0,2143.8875000000003,25.0
Japan,20222.0,FUKUICHI MARU NO.85,JHPT,43167e4,8717087.0,Single Purse Seine,62.96,1094.0,1912.0,22.0
South Korea,21337.0,ORYONG NO.311,DTDX,440987e3,8714164.0,Longline,53.3,380.0,745.7,25.0
South Korea,21543.0,ORYONG NO.305,HLVJ,440656e3,8703878.0,Longline,53.3,384.0,745.7,25.0
Japan,21576.0,KIYO MARU NO.28,JMZW,431698e3,8803836.0,Pole and Line,56.27,385.0,1912.29675,28.0
South Korea,22038.0,NO.315 ORYONG,DTDZ,440731e3,8714188.0,Longline,53.3,380.0,745.7,25.0
Taiwan,22145.0,MILFLORES 888,P2V5653,416327e3,8648030.0,Single Purse Seine,57.36,995.02,2206.49625,25.0
Republic of Kiribati,22483.0,MATAIKA,T3AA2,529435e3,7514842.0,Single Purse Seine,68.1,1106.04,2647.7954999999997,25.0
China,22566.0,HAI SHANG 98,BZ7UY,412371192.0,8814964.0,Longline,53.51,577.0,735.0,30.0
China,22764.0,JIN HUI NO.3,BIYA,413032e3,8647749.0,Single Purse Seine,64.7,995.0,2087.96,30.0
Federated States of Micronesia,22772.0,QUEEN MARY,V6P88,NA,6921452.0,Single Purse Seine,46.02,509.33,1677.825,16.0
Federated States of Micronesia,22780.0,TRINIDAD III,V6P89,NA,7005267.0,Single Purse Seine,46.02,509.27,1677.825,16.0
Japan,22798.0,SHOEI MARU NO.18,JJOS,431523e3,8815061.0,Pole and Line,61.68,463.0,1342.26,30.0
Philippines,22814.0,SUNFLOWER 8,DUE6209,416611e3,8648004.0,Single Purse Seine,64.7,995.0,2206.49625,34.0
Republic of Kiribati,22889.0,MARIRAOI,T3AF2,52944e4,8003230.0,Single Purse Seine,68.1,1526.0,2684.52,25.0
Republic of Kiribati,22905.0,MARAWA I,T3LM2,529686e3,7806269.0,Single Purse Seine,67.32684210526317,1350.0,2684.52,24.0
South Korea,22939.0,NO.201 DONGWON,DTFU,440584e3,8714126.0,Longline,56.07,410.0,894.84,25.0
South Korea,22947.0,NO.202 DONGWON,DTFV,440623e3,8714138.0,Longline,56.07,410.0,894.84,25.0
Republic of Kiribati,22970.0,JOON DISCOVERER,T3LB2,529676e3,7641580.0,Single Purse Seine,68.09,1207.71,2684.52,25.0
Japan,23036.0,KAIEN MARU NO.23,NA,NA,NA,Longline,15.63,19.0,478.079999999999,10.0
Japan,23101.0,KAIYO MARU NO.35,JMXY,431701780.0,8809309.0,Longline,54.56,379.0,698.7238125,25.0
South Korea,23234.0,NO.718 ORYONG,DTAC6,440935e3,8815695.0,Longline,56.07,416.0,894.84,25.0
South Korea,23366.0,ORYONG NO.712,6LHG,441072e3,8717788.0,Longline,56.07,416.0,894.84,25.0
China,23382.0,JIN HUI NO.1,BZVK,412926e3,8647725.0,Single Purse Seine,64.7,995.0,2087.96,30.0
Taiwan,23416.0,YU WEN 101,BZJM,NA,8748567.0,Single Purse Seine,64.76,995.0,2237.1,40.0
Philippines,24109.0,VANILLA,DUUP,NA,6613469.0,Fish Carrier,73.6,1203.4,1118.55,20.0
Japan,24166.0,HAYABUSA MARU NO.2,JMTH,432114e3,8822064.0,Single Purse Seine,62.88,1096.0,2206.0,26.0
Japan,24174.0,KAIEN MARU NO.33,NA,431501170.0,NA,Longline,16.12,19.0,139.7447625,10.0
Taiwan,24182.0,CHING FENG 767,BZKO,416017500.0,8628547.0,Single Purse Seine,66.23,996.0,2237.1,28.0
Japan,24265.0,CHOKYU MARU NO.2,7KLG,431602240.0,8809086.0,Longline,43.31,199.0,338.329425,20.0
South Korea,24463.0,NO.3 TONINA,6NKJ,440648e3,8821565.0,Longline,56.07,408.0,894.84,25.0
Philippines,24588.0,LAUREN MARIE TAYLOR,DUA6679,548687200.0,8748517.0,Single Purse Seine,56.64,995.0,2237.1,25.0
Japan,24646.0,WAKABA MARU NO.3,JNBA,431686e3,8915134.0,Single Purse Seine,63.24,1096.0,2206.0,25.0
Japan,24802.0,KAIHO MARU,JESS,NA,NA,Longline,50.03,538.0,735.49875,25.0
China,24869.0,LU QING YUAN YU 016,BZSJ9,412328714.0,8809282.0,Longline,54.56,653.0,699.0,30.0
South Korea,24893.0,WESTERN KIM,6MOW,440644e3,8003242.0,Single Purse Seine,68.17,1201.65,2684.52,22.0
South Korea,24968.0,OCEAN MASTER,6MOU,440823e3,8812227.0,Single Purse Seine,78.33,1349.2,2982.8,22.0
South Korea,25007.0,SHILLA EXPLORER,6MPH,NA,8812203.0,Single Purse Seine,78.33,1349.2,2982.8,25.0
South Korea,25023.0,SHILLA PIONEER,6MSQ,440542e3,8813477.0,Single Purse Seine,78.33,1349.2,2982.8,25.0
Philippines,25122.0,SILVER QUEEN,DUA6088,NA,8327715.0,Single Purse Seine,34.0,960.86,2002.2045,24.0
Japan,25239.0,HOMARE MARU NO.29,JETJ,431500460.0,8921212.0,Longline,54.74,379.0,1441.57755,20.0
South Korea,25320.0,NO.312 ORYONG,DTDY,440941e3,8714176.0,Longline,53.3,380.0,745.7,25.0
Taiwan,25437.0,BAE FU 103,BZNF,NA,8748490.0,Single Purse Seine,64.7,995.0,2237.1,40.0
South Korea,25502.0,ORYONG NO.717,DTAF2,440807e3,8815683.0,Longline,56.07,416.0,894.84,25.0
South Korea,25601.0,NO.617 DONG WON,HLJF,440636e3,8714023.0,Longline,56.07,414.0,882.5985,25.0
Japan,25767.0,WAKABA MARU NO.8,JRXI,431503e3,8921406.0,Single Purse Seine,63.24,1094.0,1985.0,24.0
Federated States of Micronesia,25874.0,CAROLINE I,V6P91,510065e3,8102866.0,Single Purse Seine,77.16,1678.0,2684.52,25.0
South Korea,25908.0,CARIBE,DTBQ7,440233e3,8102854.0,Single Purse Seine,76.64,733.0,2684.52,22.0
Federated States of Micronesia,25924.0,YAP SEAGULL,V6YD40,NA,7366726.0,Single Purse Seine,59.34,972.77,2684.52,19.0
United States of America,25957.0,CAPE ELIZABETH III,WDF8203,303343e3,9018892.0,Single Purse Seine,76.132,1930.0,3299.7225000000003,25.0
South Korea,26047.0,ORYONG NO.303,HLHJ,440654e3,8610643.0,Longline,53.3,384.0,745.7,25.0
United States of America,26161.0,EVELINA DA ROSA,WDI8477,367738980.0,8131441.0,Single Purse Seine,74.8,1957.0,2982.8,25.0
Taiwan,26195.0,SHUN TIEN NO.606,BZMX,416001500.0,8748531.0,Single Purse Seine,66.4,995.0,2237.1,35.0
Taiwan,26203.0,CHING FENG 787,BZNC,416574e3,8628535.0,Single Purse Seine,69.26,1091.0,2237.1,28.0
South Korea,26344.0,NO.620 DONG WON,6LCI,440952e3,8821498.0,Longline,56.07,417.0,882.5985,25.0
South Korea,26377.0,SHILLA CHALLENGER,6MET,440492e3,8813489.0,Single Purse Seine,78.33,1349.2,2982.8,25.0
South Korea,26401.0,ORYONG NO.306,HLVW,440733e3,8703880.0,Longline,53.3,384.0,745.7,25.0
Japan,26575.0,FUKUICHI MARU NO.112,JITS,431671e3,9009736.0,Single Purse Seine,63.51,1093.0,1912.0,24.0
Philippines,26732.0,GABRIELLE LT,4DFC5,416549e3,8748672.0,Single Purse Seine,69.25,1081.0,2237.1,35.0
Taiwan,26773.0,BAE FU 301,BL2052,NA,8748505.0,Single Purse Seine,69.25,1089.0,2237.1,40.0
Japan,26880.0,GENPUKU MARU NO.18,JNQX,431812e3,9009748.0,Single Purse Seine,63.51,1092.0,1985.0,25.0
Federated States of Micronesia,26898.0,SEIPAL,V6P1164,NA,9016545.0,Single Purse Seine,63.24,1096.0,1985.846625,21.0
Japan,27029.0,HOSHIN MARU NO.62,JJCT,43227e4,9011351.0,Longline,56.17,409.0,698.0,23.0
Japan,27037.0,SHOUN MARU NO.51,JRMX,432008e3,9011325.0,Longline,49.75,319.0,1618.09725,23.0
Japan,27219.0,KAISEI MARU NO.7,JFCV,431500530.0,9033141.0,Longline,55.16,379.0,735.0,22.0
China,27318.0,ZHONG TAI NO.1,BZZW4,413034e3,8995457.0,Single Purse Seine,66.23,1087.0,2205.0,30.0
Philippines,27342.0,ZINNIA 5,DUA2427,NA,7434274.0,Bunker,54.0,497.55,969.429999999999,11.0
Taiwan,27359.0,WIN FAR NO.626,BEAB,4165e5,8747240.0,Single Purse Seine,65.7,1098.0,2237.1,30.0
Japan,27433.0,TOKIWA MARU NO.18,JJHJ,43131e4,9031923.0,Single Purse Seine,63.24,1096.0,1985.0,24.0
Taiwan,27680.0,YU WEN 301,BEBG,NA,8748579.0,Single Purse Seine,69.26,1080.0,2237.1,40.0
Philippines,27714.0,TOBIAS MIGUEL,4DFC7,NA,8748658.0,Single Purse Seine,69.26,1092.0,2237.1,35.0
Taiwan,27730.0,TA CHING 666,BEBF,416836e3,8628559.0,Single Purse Seine,66.23,1052.0,2237.1,28.0
Taiwan,27888.0,WIN FAR NO.636,BL2039,416898e3,8747252.0,Single Purse Seine,65.7,1098.0,2237.1,30.0
Republic of Kiribati,27896.0,WIN UNI,T3MY,52912e4,7302299.0,Fish Carrier,104.3,2910.0,3357.0,25.0
Japan,28001.0,SEIFUKU MARU NO.68,JRQF,43226e4,9036765.0,Longline,56.43,379.0,1434.2225624999999,23.0
Taiwan,28217.0,FONG SEONG 767,BEBC,416853e3,9035242.0,Single Purse Seine,86.11,1895.0,2982.8,30.0
Japan,28365.0,KOYO MARU NO.78,7JJY,431308e3,9033282.0,Single Purse Seine,63.51,1094.0,1912.0,24.0
Japan,28373.0,KOYO MARU NO.15,JRUV,431817e3,9020807.0,Single Purse Seine,63.24,1096.0,1985.0,24.0
Japan,28381.0,TENOH MARU NO.7,7JOM,431501404.0,9036727.0,Single Purse Seine,63.51,1093.0,1949.0,22.0
Japan,28399.0,TAIKEI MARU NO.1,JRTG,431796e3,9037953.0,Single Purse Seine,64.21,1210.5,1912.0,23.0
China,28407.0,JIN LIAO YU 57,BAWB,412217989.0,9038153.0,Single Purse Seine,63.0,1095.0,1986.0,32.0
Taiwan,28589.0,FONG SEONG NO.779,BEBT,416714e3,9035254.0,Single Purse Seine,77.67736842105262,1735.0,2984.0,30.0
China,28613.0,JIN HUI NO.6,BIWX,413224e3,8924381.0,Single Purse Seine,70.26,1198.0,2237.1,28.0
Japan,28639.0,KOYO MARU NO.1,JQMW,432323e3,9047984.0,Longline,56.41,390.0,708.4150000000001,23.0
Japan,29678.0,NIKKO MARU NO.31,JJCP,431509e3,9053567.0,Pole and Line,66.36,499.0,1470.0,30.0
Japan,29686.0,HINODE MARU NO.18,JJAI,431147e3,9033294.0,Pole and Line,57.15,359.0,735.49875,24.0
Cook Islands,29694.0,TOAMOANA NO.8,E5U2623,518676e3,8664424.0,Longline,22.0,70.0,367.0,10.0
Republic of Kiribati,29801.0,XIN RUI,T3HC2,529605e3,9065534.0,Fish Carrier,97.4,2839.0,2292.0,23.0
Japan,30049.0,YUSEI MARU NO.8,NA,431680150.0,NA,Longline,14.99,19.98,139.7447625,8.0
Philippines,30056.0,VANDA 888,DYDH,NA,7322471.0,Fish Carrier,100.13,2219.0,3355.65,40.0
Japan,30106.0,WAKABA MARU NO.6,JFRJ,431696e3,9062635.0,Single Purse Seine,63.24,1096.0,1912.0,24.0
Japan,30775.0,SEISHU MARU NO.7,JIKD,431159e3,9066306.0,Single Purse Seine,63.51,1093.0,2794.0,24.0
Japan,30809.0,FUKUTOKU MARU NO. 37,JQPE,431700060.0,9066904.0,Longline,56.17,379.0,745.7,23.0
Japan,30890.0,FUKUYO MARU NO.68,JQNK,431700030.0,9053476.0,Longline,56.17,379.0,735.0,22.0
Japan,31013.0,SHINKO MARU NO.78,JM6181,NA,NA,Longline,31.15,89.0,507.0,12.0
Panama,31591.0,VIVA 106,3EGN7,352533e3,8122385.0,Fish Carrier,99.02,3574.0,3971.69325,25.0
Philippines,31617.0,DOLORES 849,4DEF6,548347100.0,8602311.0,Single Purse Seine,60.19,1014.15,1879.0,37.0
Papua New Guinea,31625.0,DOLORES 839,P2V5664,548348100.0,8602323.0,Single Purse Seine,60.19,1014.15,1879.0,37.0
South Korea,32022.0,SEIWA,DSMA2,440046e3,9021277.0,Fish Carrier,94.0,2339.0,2427.1458749999997,20.0
Japan,32043.0,YOKO MARU NO.35,NA,431680620.0,NA,Longline,15.65,19.0,117.6798,8.0
El Salvador,32078.0,MONTEROCIO,YSC2002,359002e3,8919453.0,Single Purse Seine,78.8,2109.0,4800.0,29.0
Panama,32079.0,LAKE HILL 7,3EYA7,529087e3,8028955.0,Fish Carrier,99.02,3363.0,4026.78,18.0
Japan,32080.0,DAIKI MARU NO.8,JL6176,NA,NA,Longline,28.3,66.0,228.0046125,10.0
South Korea,32161.0,NO.53 SHIN YUNG,6MWO,440628e3,8815712.0,Longline,55.2,424.0,894.84,25.0
South Korea,32165.0,NO.101 SOJIN,HLLW,440801e3,8716057.0,Longline,51.179,378.0,894.84,25.0
China,32166.0,SHEN GANG FA NO.1,BZXD4,442460001.0,8628523.0,Longline,53.3,576.0,882.0,27.0
South Korea,32168.0,ORYONG NO.316,6MBQ,440986e3,9042037.0,Longline,53.3,380.0,745.7,25.0
South Korea,32188.0,ORYONG NO.733,6NSK,440931e3,9041112.0,Longline,56.07,416.0,894.84,25.0
South Korea,32189.0,ORYONG NO.707,HLWH,440792e3,8619364.0,Longline,56.07,414.0,894.84,25.0
South Korea,32190.0,ORYONG NO.725,DTAC8,440886e3,9041100.0,Longline,56.07,421.0,894.84,25.0
South Korea,32192.0,ORYONG NO.723,DTAB8,440885e3,9019315.0,Longline,56.07,446.0,894.84,25.0
South Korea,32198.0,NO.207 DONGWON,HLBR,440765e3,8619247.0,Longline,56.07,380.0,894.84,25.0
South Korea,32209.0,PANALOX 701,DTAB7,44125100.0,9005297.0,Longline,55.09,442.0,894.84,25.0
South Korea,32216.0,ORYONG NO.317,6MBV,440045e3,9042049.0,Longline,53.3,380.0,745.7,25.0
South Korea,32217.0,NO.308 DAEHWA,6NJI,NA,8805327.0,Longline,49.91,423.0,894.84,25.0
South Korea,32218.0,NO.55 CHUNGYONG,6LJR,440946e3,8714059.0,Longline,56.07,416.0,894.84,25.0
South Korea,32220.0,NO.306 DAEHWA,DTFE,773110354.0,8709054.0,Longline,56.07,416.0,894.84,25.0
South Korea,32226.0,AGNES 83,6LIW,441043e3,9012331.0,Longline,56.07,417.0,894.84,25.0
South Korea,32227.0,AGNES 82,6LWJ,440772e3,8714061.0,Longline,56.07,410.0,894.84,25.0
South Korea,32236.0,AGNES 90,6LZM,44077e4,9042025.0,Longline,56.38,414.0,894.84,25.0
South Korea,32239.0,PANALOX 503,DTAU4,440517e3,8916372.0,Longline,55.14,427.0,894.84,25.0
South Korea,32240.0,PANALOX 502,DTAV2,440617e3,8916360.0,Longline,55.09,427.0,894.84,25.0
South Korea,32241.0,PANALOX 501,DTAU9,440595e3,8916358.0,Longline,55.16,427.0,894.84,25.0
South Korea,32242.0,NO.56 SHIN YUNG,HLWA,440504e3,8619326.0,Longline,53.3,384.0,745.7,24.0
South Korea,32243.0,NO.52 SHIN YUNG,6NJJ,440612e3,8717984.0,Longline,53.5,401.0,894.84,25.0
South Korea,32244.0,NO.51 SHIN YUNG,6LGQ,440604e3,8714231.0,Longline,53.5,401.0,894.84,25.0
South Korea,32246.0,NO.517 NAMGUNG,6LHL,440298e3,8827741.0,Longline,56.7,414.0,894.84,25.0
South Korea,32247.0,NO.38 HANSUNG,HLJB,44059e4,8717843.0,Longline,53.3,385.0,745.7,25.0
South Korea,32248.0,NO.39 HANSUNG,6NET,440239e3,9046409.0,Longline,53.3,385.0,745.7,25.0
South Korea,32254.0,NO.105 OYANG,6LJG,4419e4,8805298.0,Longline,56.07,411.0,894.84,25.0
Japan,32263.0,MATSUICHI MARU NO.8,NA,431680210.0,NA,Longline,16.95,19.76,117.6798,8.0
Japan,32264.0,TAIKO MARU,NA,431918e3,NA,Longline,16.94,19.0,117.6798,8.0
Panama,32311.0,YUNG DA FA 102,3FEJ5,355141e3,8323599.0,Fish Carrier,93.88,2829.0,2438.17835625,19.0
Japan,32411.0,KOSHIN MARU NO.7,JLVW,431702990.0,9073397.0,Longline,56.7,435.0,735.49875,25.0
Republic of Vanuatu,32413.0,GLORY NO.1,YJTG2,577145e3,8717013.0,Longline,53.61,617.0,745.7,25.0
Japan,32444.0,SEIHOU MARU NO.8,NA,431680570.0,NA,Longline,19.0,19.98,139.7447625,8.0
Japan,32445.0,HOEI MARU,JRTL,431700150.0,9083653.0,Pole and Line,65.46,499.0,1470.9975,33.0
Japan,32500.0,EISEI MARU NO.8,JEED,431617e3,9087790.0,Pole and Line,65.36,499.0,1470.9975,30.0
China,32502.0,TAI NING,BBQR,412322280.0,8217116.0,Fish Carrier,92.23,3260.0,3310.0,23.0
China,32520.0,HAI SHANG 88,BZ6UY,412371191.0,9087788.0,Longline,56.17,577.0,735.0,30.0
Federated States of Micronesia,32590.0,MATHAWMARFACH,V6YM,NA,8119651.0,Single Purse Seine,65.0,1555.0,2952.972,19.0
Taiwan,32712.0,JIN CHING FA NO.7,BK6248,416003113.0,NA,Longline,19.4,42.57,462.334,9.0
Taiwan,32713.0,TIEN FA TSAI NO.26,BK6979,416000737.0,NA,Longline,21.29,49.62,406.4065,14.0
Taiwan,32754.0,FUH AN NO.13,BK7186,416000806.0,NA,Longline,21.7,48.84,447.42,9.0
China,32774.0,JIN HUI NO.7,BIWT,413278e3,8125090.0,Single Purse Seine,79.77,1769.0,2686.0,30.0
Japan,32793.0,SHINSEI MARU NO.21,JL6262,NA,NA,Longline,29.8,79.0,279.489525,10.0
Panama,32796.0,FRIO POSEIDON,3EHL5,371812e3,8807662.0,Fish Carrier,140.4,9072.0,5117.7391,23.0
United States of America,32805.0,CAPT. VINCENT GANN,WDG2517,303137e3,9018880.0,Single Purse Seine,76.5,1930.0,3299.7225000000003,25.0
Japan,32818.0,TAKASHIRO MARU NO.38,NA,431501186.0,NA,Longline,17.58,19.0,88.25985,8.0
Japan,32821.0,HOTOKU MARU,NA,NA,NA,Longline,16.98,19.94,139.7447625,8.0
Japan,32826.0,MANEI MARU NO.38,NA,431680141.0,NA,Longline,16.93,19.0,117.6798,7.818181818181818
Japan,32848.0,KINEI MARU NO.35,JMSU,432057e3,9037551.0,Longline,55.16,409.0,735.49875,25.0
Japan,32857.0,FUKU MARU NO.3,NA,NA,NA,Longline,14.95,19.94,139.7447625,8.0
Japan,32860.0,KATSU MARU NO.28,NA,NA,NA,Longline,14.96,19.89,139.7447625,9.0
Japan,32861.0,KINSEI MARU NO.3,NA,NA,NA,Longline,14.99,19.0,117.6798,8.0
Japan,32866.0,HATSUEI MARU NO.6,NA,431680690.0,NA,Longline,17.61,19.0,117.6798,8.0
Panama,32868.0,SANWA FONTAINE,3FMK4,353937e3,8204121.0,Fish Carrier,92.21,3260.0,3309.7443749999998,23.0
Taiwan,32882.0,SHENG HONG,BZLL,416702e3,7920869.0,Fish Carrier,83.06,1866.0,2237.1,20.0
Japan,32902.0,RYUSEI MARU NO.8,NA,431680360.0,NA,Longline,19.0,19.93,139.7447625,10.0
Japan,32904.0,NANKAI MARU NO.18,NA,431680730.0,NA,Longline,16.85,19.94,139.7447625,9.0
South Korea,32906.0,ORYONG NO.325,6MNZ,440055e3,9019509.0,Longline,53.52,389.0,894.84,25.0
South Korea,32915.0,ORYONG NO.721,DTAH8,440703e3,8815700.0,Longline,56.07,416.0,894.84,25.0
South Korea,32920.0,NO.205 DONGWON,DTDV,440788e3,8428296.0,Longline,56.07,397.0,894.84,25.0
South Korea,32923.0,ORYONG NO.307,HLBX,440846e3,8703892.0,Longline,53.3,384.0,745.7,25.0
South Korea,32924.0,ORYONG NO.722,DTAG3,440936e3,8829543.0,Longline,56.07,416.0,894.84,25.0
South Korea,32925.0,ORYONG NO.715,DTAD8,440704e3,8717867.0,Longline,56.07,416.0,894.84,25.0
South Korea,32926.0,ATUN TRES,DTAC5,440992e3,8821553.0,Longline,56.07,408.0,894.84,25.0
Panama,32928.0,TAI FU NO.1,3ECZ6,529096e3,7908976.0,Fish Carrier,137.0,6049.0,5883.99,25.0
Taiwan,32929.0,WIN FAR NO.606,BEDT,416899e3,8747238.0,Single Purse Seine,70.26,1124.0,2386.2400000000002,30.0
Taiwan,32930.0,WIN FAR NO.666,BEDU,416501e3,9108946.0,Single Purse Seine,69.26,1096.0,2386.2400000000002,30.0
Japan,32946.0,KIFUKU MARU NO.36,JM6278,4321e5,9115676.0,Longline,45.61,199.0,588.0,20.0
South Korea,32950.0,CHILSUNG NO.1,HLJC,440821e3,8717855.0,Longline,53.3,385.0,745.7,25.0
South Korea,32951.0,NO.2 KYUNG YANG,6NJH,440773e3,8805315.0,Longline,56.07,423.0,894.84,25.0
