ffa_vid,vessel_name,ircs,mmsi,uvi_imo_number,vessel_type,length,tonnage,engine_power,crew
36204.0,QING YUAN YU 012,BZZQ3,412320019.0,8618762.0,Longline,54.01,577.0,1103.0,31.0
36205.0,QING YUAN YU 011,BZZQ2,412320018.0,8410469.0,Longline,55.46,619.0,1103.0,31.0
36206.0,HAI GONG YOU 303,3EVX5,371596e3,9031507.0,Bunker,111.56,4989.0,3653.9300000000003,20.0
36207.0,SHIN FUJI,YJQA4,576276e3,9140281.0,Fish Carrier,99.5,3822.0,2942.0,25.0
36208.0,SHEN LIAN CHENG NO.761,BZXC33,NA,NA,Longline,30.24,192.0,400.0,10.0
36210.0,PURPLE LILAC 888,P2V5408,NA,7820722.0,Single Purse Seine,76.52,1799.93,2237.1,25.0
36211.0,LAVENDER 888,P2V5406,NA,8102294.0,Single Purse Seine,55.17,1012.7,2087.96,23.0
36212.0,SHEN LIAN CHENG NO.760,BZXC32,NA,NA,Longline,30.24,105.0,400.0,10.0
36213.0,HUA JIAN NO.107,T3XR,529354e3,8421298.0,Fish Carrier,107.96,4238.0,3501.0,23.0
36214.0,CFA 22,V6P22,NA,NA,Longline,29.7,96.0,441.29925,16.0
36215.0,TENHO MARU,YJQE5,NA,9128764.0,Fish Carrier,94.65,3496.0,2941.995,47.0
36219.0,XIN SHI JI 80,BZVY3,412695650.0,8670033.0,Longline,56.5,634.0,745.7,33.0
36223.0,YI MAN NO.3,BJ5061,416004299.0,NA,Longline,23.9,99.7,NA,14.0
36229.0,GILONTAS NO.386,YJTQ9,577219e3,8668779.0,Longline,24.955172413793104,80.88,335.565,NA
36231.0,HAI FENG NO.618,3FHE6,356514e3,9035084.0,Fish Carrier,138.0,7800.0,7050.0,25.0
36232.0,HAI FENG 628,3FEO6,371335e3,8317356.0,Fish Carrier,143.52,6268.0,5995.0,25.0
36233.0,HAI FENG NO.638,3EVC7,37291e4,8613920.0,Fish Carrier,117.8,4986.0,5295.0,25.0
36234.0,OCEAN BOUNTIFUL 338,3DTD,520225e3,NA,Longline,29.7,98.0,596.5600000000001,15.0
36237.0,ESSIEN NO.108,YJTZ3,57729e4,9004451.0,Longline,55.45,598.0,1176.798,28.0
36238.0,HUA NAN YU 716,BZXD24,412460003.0,8654924.0,Longline,32.74,196.0,440.0,15.0
36239.0,HUA NAN YU 717,BZXD25,412460004.0,8654936.0,Longline,32.74,196.0,440.0,15.0
36242.0,CFA 23,V6P23,NA,NA,Longline,29.7,96.0,441.29925,16.0
36244.0,CFA 25,V6P25,NA,NA,Longline,29.7,96.0,441.29925,16.0
36245.0,YANG SHUN NO.9,BI2417,416003700.0,8651350.0,Longline,56.9,720.0,1043.98,30.0
36246.0,HUA NAN YU 718,BZXD26,412460005.0,8654948.0,Longline,32.74,196.0,447.42,14.0
36247.0,HUA NAN YU 719,BZXD27,412460006.0,8654950.0,Longline,32.74,196.0,447.42,15.0
36248.0,YI RONG NO.6,BJ5076,416237600.0,NA,Longline,23.95,97.88,700.58515,17.0
36250.0,GUI YUAN YU 60005,BZWZ35,412500244.0,NA,Longline,33.78,228.0,375.0,15.0
36251.0,GUI YUAN YU 60006,BZWZ36,412500244.0,NA,Longline,33.78,228.0,375.0,15.0
36253.0,JIN SHENG 7,BZSX4,412270058.0,8652720.0,Longline,54.4,565.0,956.0,30.0
36255.0,ZHONG SHUI 711,BZSI6,412326893.0,NA,Longline,35.5,255.0,450.0,13.0
36256.0,ZHONG SHUI 712,BZSI7,412326894.0,NA,Longline,35.5,255.0,450.0,13.0
36257.0,ZHONG SHUI 811,BZSI8,412326895.0,8653619.0,Longline,35.5,255.0,450.0,13.0
36258.0,ZHONG SHUI 812,BZSI9,412326896.0,NA,Longline,35.5,255.0,450.0,13.0
36259.0,HUA NAN YU 721,BZXD28,412460007.0,8654962.0,Longline,32.74,196.0,447.42,14.0
36260.0,HUA NAN YU 722,BZXD29,412460008.0,8654974.0,Longline,32.74,196.0,447.42,14.0
36261.0,HUA NAN YU 723,BZXD32,412460009.0,8654986.0,Longline,32.74,196.0,447.42,14.0
36262.0,MONTECRUZ,3FUH5,352545e3,7710276.0,Fish Carrier,96.95,2689.0,2087.96,13.0
36263.0,KUO RONG NO.6,BJ5084,416237700.0,NA,Longline,23.95,984.0,700.58515,17.0
